id	ts	host	level	latency_ms	bytes	msg
205	1700002665	api-1	INFO	535	3549	wrote batch
206	1700002678	api-2	INFO	542	3566	auth ok
207	1700002691	worker-a	WARN	549	3583	rate limited
208	1700002704	worker-b	DEBUG	556	3600	accepted connection
209	1700002717	cache-1	ERROR	563	3617	query ok
210	1700002730	web-1	INFO	570	3634	cache miss
211	1700002743	web-2	INFO	577	3651	retry scheduled
212	1700002756	api-1	INFO	584	3668	timeout waiting on upstream
213	1700002769	api-2	WARN	591	3685	wrote batch
214	1700002782	worker-a	DEBUG	598	3702	auth ok
215	1700002795	worker-b	ERROR	605	3719	rate limited
216	1700002808	cache-1	INFO	612	3736	accepted connection
217	1700002821	web-1	INFO	619	3753	query ok
218	1700002834	web-2	INFO	626	3770	cache miss
219	1700002847	api-1	WARN	633	3787	retry scheduled
220	1700002860	api-2	DEBUG	640	3804	timeout waiting on upstream
221	1700002873	worker-a	ERROR	647	3821	wrote batch
222	1700002886	worker-b	INFO	654	3838	auth ok
223	1700002899	cache-1	INFO	661	3855	rate limited
224	1700002912	web-1	INFO	668	3872	accepted connection
225	1700002925	web-2	WARN	675	3889	query ok
226	1700002938	api-1	DEBUG	682	3906	cache miss
227	1700002951	api-2	ERROR	689	3923	retry scheduled
228	1700002964	worker-a	INFO	696	3940	timeout waiting on upstream
229	1700002977	worker-b	INFO	703	3957	wrote batch
230	1700002990	cache-1	INFO	710	3974	auth ok
231	1700003003	web-1	WARN	717	3991	rate limited
232	1700003016	web-2	DEBUG	724	4008	accepted connection
233	1700003029	api-1	ERROR	731	4025	query ok
234	1700003042	api-2	INFO	738	4042	cache miss
235	1700003055	worker-a	INFO	745	4059	retry scheduled
236	1700003068	worker-b	INFO	752	4076	timeout waiting on upstream
237	1700003081	cache-1	WARN	759	4093	wrote batch
238	1700003094	web-1	DEBUG	766	4110	auth ok
239	1700003107	web-2	ERROR	773	4127	rate limited
240	1700003120	api-1	INFO	780	4144	accepted connection
241	1700003133	api-2	INFO	787	4161	query ok
242	1700003146	worker-a	INFO	794	4178	cache miss
243	1700003159	worker-b	WARN	801	4195	retry scheduled
244	1700003172	cache-1	DEBUG	808	4212	timeout waiting on upstream
245	1700003185	web-1	ERROR	815	4229	wrote batch
246	1700003198	web-2	INFO	822	4246	auth ok
247	1700003211	api-1	INFO	829	4263	rate limited
248	1700003224	api-2	INFO	836	4280	accepted connection
249	1700003237	worker-a	WARN	843	4297	query ok
250	1700003250	worker-b	DEBUG	850	4314	cache miss
251	1700003263	cache-1	ERROR	857	4331	retry scheduled
252	1700003276	web-1	INFO	864	4348	timeout waiting on upstream
253	1700003289	web-2	INFO	871	4365	wrote batch
254	1700003302	api-1	INFO	878	4382	auth ok
255	1700003315	api-2	WARN	885	4399	rate limited
256	1700003328	worker-a	DEBUG	892	4416	accepted connection
257	1700003341	worker-b	ERROR	899	4433	query ok
258	1700003354	cache-1	INFO	6	4450	cache miss
259	1700003367	web-1	INFO	13	4467	retry scheduled
260	1700003380	web-2	INFO	20	4484	timeout waiting on upstream
261	1700003393	api-1	WARN	27	4501	wrote batch
262	1700003406	api-2	DEBUG	34	4518	auth ok
263	1700003419	worker-a	ERROR	41	4535	rate limited
264	1700003432	worker-b	INFO	48	4552	accepted connection
265	1700003445	cache-1	INFO	55	4569	query ok
266	1700003458	web-1	INFO	62	4586	cache miss
267	1700003471	web-2	WARN	69	4603	retry scheduled
268	1700003484	api-1	DEBUG	76	4620	timeout waiting on upstream
269	1700003497	api-2	ERROR	83	4637	wrote batch
270	1700003510	worker-a	INFO	90	4654	auth ok
271	1700003523	worker-b	INFO	97	4671	rate limited
272	1700003536	cache-1	INFO	104	4688	accepted connection
273	1700003549	web-1	WARN	111	4705	query ok
274	1700003562	web-2	DEBUG	118	4722	cache miss
275	1700003575	api-1	ERROR	125	4739	retry scheduled
276	1700003588	api-2	INFO	132	4756	timeout waiting on upstream
277	1700003601	worker-a	INFO	139	4773	wrote batch
278	1700003614	worker-b	INFO	146	4790	auth ok
279	1700003627	cache-1	WARN	153	4807	rate limited
280	1700003640	web-1	DEBUG	160	4824	accepted connection
281	1700003653	web-2	ERROR	167	4841	query ok
282	1700003666	api-1	INFO	174	4858	cache miss
283	1700003679	api-2	INFO	181	4875	retry scheduled
284	1700003692	worker-a	INFO	188	4892	timeout waiting on upstream
285	1700003705	worker-b	WARN	195	4909	wrote batch
286	1700003718	cache-1	DEBUG	202	4926	auth ok
287	1700003731	web-1	ERROR	209	4943	rate limited
288	1700003744	web-2	INFO	216	4960	accepted connection
289	1700003757	api-1	INFO	223	4977	query ok
290	1700003770	api-2	INFO	230	4994	cache miss
291	1700003783	worker-a	WARN	237	5011	retry scheduled
292	1700003796	worker-b	DEBUG	244	5028	timeout waiting on upstream
293	1700003809	cache-1	ERROR	251	5045	wrote batch
294	1700003822	web-1	INFO	258	5062	auth ok
295	1700003835	web-2	INFO	265	5079	rate limited
296	1700003848	api-1	INFO	272	5096	accepted connection
297	1700003861	api-2	WARN	279	5113	query ok
298	1700003874	worker-a	DEBUG	286	5130	cache miss
299	1700003887	worker-b	ERROR	293	5147	retry scheduled
300	1700003900	cache-1	INFO	300	5164	timeout waiting on upstream
301	1700003913	web-1	INFO	307	5181	wrote batch
302	1700003926	web-2	INFO	314	5198	auth ok
303	1700003939	api-1	WARN	321	5215	rate limited
304	1700003952	api-2	DEBUG	328	5232	accepted connection
305	1700003965	worker-a	ERROR	335	5249	query ok
306	1700003978	worker-b	INFO	342	5266	cache miss
307	1700003991	cache-1	INFO	349	5283	retry scheduled
308	1700004004	web-1	INFO	356	5300	timeout waiting on upstream
309	1700004017	web-2	WARN	363	5317	wrote batch
310	1700004030	api-1	DEBUG	370	5334	auth ok
311	1700004043	api-2	ERROR	377	5351	rate limited
312	1700004056	worker-a	INFO	384	5368	accepted connection
313	1700004069	worker-b	INFO	391	5385	query ok
314	1700004082	cache-1	INFO	398	5402	cache miss
315	1700004095	web-1	WARN	405	5419	retry scheduled
316	1700004108	web-2	DEBUG	412	5436	timeout waiting on upstream
317	1700004121	api-1	ERROR	419	5453	wrote batch
318	1700004134	api-2	INFO	426	5470	auth ok
319	1700004147	worker-a	INFO	433	5487	rate limited
320	1700004160	worker-b	INFO	440	5504	accepted connection
321	1700004173	cache-1	WARN	447	5521	query ok
322	1700004186	web-1	DEBUG	454	5538	cache miss
323	1700004199	web-2	ERROR	461	5555	retry scheduled
324	1700004212	api-1	INFO	468	5572	timeout waiting on upstream
325	1700004225	api-2	INFO	475	5589	wrote batch
326	1700004238	worker-a	INFO	482	5606	auth ok
327	1700004251	worker-b	WARN	489	5623	rate limited
328	1700004264	cache-1	DEBUG	496	5640	accepted connection
329	1700004277	web-1	ERROR	503	5657	query ok
330	1700004290	web-2	INFO	510	5674	cache miss
331	1700004303	api-1	INFO	517	5691	retry scheduled
332	1700004316	api-2	INFO	524	5708	timeout waiting on upstream
333	1700004329	worker-a	WARN	531	5725	wrote batch
334	1700004342	worker-b	DEBUG	538	5742	auth ok
335	1700004355	cache-1	ERROR	545	5759	rate limited
336	1700004368	web-1	INFO	552	5776	accepted connection
337	1700004381	web-2	INFO	559	5793	query ok
338	1700004394	api-1	INFO	566	5810	cache miss
339	1700004407	api-2	WARN	573	5827	retry scheduled
340	1700004420	worker-a	DEBUG	580	5844	timeout waiting on upstream
341	1700004433	worker-b	ERROR	587	5861	wrote batch
342	1700004446	cache-1	INFO	594	5878	auth ok
343	1700004459	web-1	INFO	601	5895	rate limited
344	1700004472	web-2	INFO	608	5912	accepted connection
345	1700004485	api-1	WARN	615	5929	query ok
346	1700004498	api-2	DEBUG	622	5946	cache miss
347	1700004511	worker-a	ERROR	629	5963	retry scheduled
348	1700004524	worker-b	INFO	636	5980	timeout waiting on upstream
349	1700004537	cache-1	INFO	643	5997	wrote batch
350	1700004550	web-1	INFO	650	6014	auth ok
351	1700004563	web-2	WARN	657	6031	rate limited
352	1700004576	api-1	DEBUG	664	6048	accepted connection
353	1700004589	api-2	ERROR	671	6065	query ok
354	1700004602	worker-a	INFO	678	6082	cache miss
355	1700004615	worker-b	INFO	685	6099	retry scheduled
356	1700004628	cache-1	INFO	692	6116	timeout waiting on upstream
357	1700004641	web-1	WARN	699	6133	wrote batch
358	1700004654	web-2	DEBUG	706	6150	auth ok
359	1700004667	api-1	ERROR	713	6167	rate limited
360	1700004680	api-2	INFO	720	6184	accepted connection
361	1700004693	worker-a	INFO	727	6201	query ok
362	1700004706	worker-b	INFO	734	6218	cache miss
363	1700004719	cache-1	WARN	741	6235	retry scheduled
364	1700004732	web-1	DEBUG	748	6252	timeout waiting on upstream
365	1700004745	web-2	ERROR	755	6269	wrote batch
366	1700004758	api-1	INFO	762	6286	auth ok
367	1700004771	api-2	INFO	769	6303	rate limited
368	1700004784	worker-a	INFO	776	6320	accepted connection
369	1700004797	worker-b	WARN	783	6337	query ok
370	1700004810	cache-1	DEBUG	790	6354	cache miss
371	1700004823	web-1	ERROR	797	6371	retry scheduled
372	1700004836	web-2	INFO	804	6388	timeout waiting on upstream
373	1700004849	api-1	INFO	811	6405	wrote batch
374	1700004862	api-2	INFO	818	6422	auth ok
375	1700004875	worker-a	WARN	825	6439	rate limited
376	1700004888	worker-b	DEBUG	832	6456	accepted connection
377	1700004901	cache-1	ERROR	839	6473	query ok
378	1700004914	web-1	INFO	846	6490	cache miss
379	1700004927	web-2	INFO	853	6507	retry scheduled
380	1700004940	api-1	INFO	860	6524	timeout waiting on upstream
381	1700004953	api-2	WARN	867	6541	wrote batch
382	1700004966	worker-a	DEBUG	874	6558	auth ok
383	1700004979	worker-b	ERROR	881	6575	rate limited
384	1700004992	cache-1	INFO	888	6592	accepted connection
385	1700005005	web-1	INFO	895	6609	query ok
386	1700005018	web-2	INFO	2	6626	cache miss
387	1700005031	api-1	WARN	9	6643	retry scheduled
388	1700005044	api-2	DEBUG	16	6660	timeout waiting on upstream
389	1700005057	worker-a	ERROR	23	6677	wrote batch
390	1700005070	worker-b	INFO	30	6694	auth ok
391	1700005083	cache-1	INFO	37	6711	rate limited
392	1700005096	web-1	INFO	44	6728	accepted connection
393	1700005109	web-2	WARN	51	6745	query ok
394	1700005122	api-1	DEBUG	58	6762	cache miss
395	1700005135	api-2	ERROR	65	6779	retry scheduled
396	1700005148	worker-a	INFO	72	6796	timeout waiting on upstream
397	1700005161	worker-b	INFO	79	6813	wrote batch
398	1700005174	cache-1	INFO	86	6830	auth ok
399	1700005187	web-1	WARN	93	6847	rate limited
400	1700005200	web-2	DEBUG	100	6864	accepted connection
401	1700005213	api-1	ERROR	107	6881	query ok
402	1700005226	api-2	INFO	114	6898	cache miss
403	1700005239	worker-a	INFO	121	6915	retry scheduled
404	1700005252	worker-b	INFO	128	6932	timeout waiting on upstream
405	1700005265	cache-1	WARN	135	6949	wrote batch
406	1700005278	web-1	DEBUG	142	6966	auth ok
407	1700005291	web-2	ERROR	149	6983	rate limited
408	1700005304	api-1	INFO	156	7000	accepted connection
409	1700005317	api-2	INFO	163	7017	query ok
410	1700005330	worker-a	INFO	170	7034	cache miss
411	1700005343	worker-b	WARN	177	7051	retry scheduled
412	1700005356	cache-1	DEBUG	184	7068	timeout waiting on upstream
413	1700005369	web-1	ERROR	191	7085	wrote batch
414	1700005382	web-2	INFO	198	7102	auth ok
415	1700005395	api-1	INFO	205	7119	rate limited
416	1700005408	api-2	INFO	212	7136	accepted connection
417	1700005421	worker-a	WARN	219	7153	query ok
418	1700005434	worker-b	DEBUG	226	7170	cache miss
419	1700005447	cache-1	ERROR	233	7187	retry scheduled
420	1700005460	web-1	INFO	240	7204	timeout waiting on upstream
421	1700005473	web-2	INFO	247	7221	wrote batch
422	1700005486	api-1	INFO	254	7238	auth ok
423	1700005499	api-2	WARN	261	7255	rate limited
424	1700005512	worker-a	DEBUG	268	7272	accepted connection
425	1700005525	worker-b	ERROR	275	7289	query ok
426	1700005538	cache-1	INFO	282	7306	cache miss
427	1700005551	web-1	INFO	289	7323	retry scheduled
428	1700005564	web-2	INFO	296	7340	timeout waiting on upstream
429	1700005577	api-1	WARN	303	7357	wrote batch
430	1700005590	api-2	DEBUG	310	7374	auth ok
431	1700005603	worker-a	ERROR	317	7391	rate limited
432	1700005616	worker-b	INFO	324	7408	accepted connection
433	1700005629	cache-1	INFO	331	7425	query ok
434	1700005642	web-1	INFO	338	7442	cache miss
435	1700005655	web-2	WARN	345	7459	retry scheduled
436	1700005668	api-1	DEBUG	352	7476	timeout waiting on upstream
437	1700005681	api-2	ERROR	359	7493	wrote batch
438	1700005694	worker-a	INFO	366	7510	auth ok
439	1700005707	worker-b	INFO	373	7527	rate limited
440	1700005720	cache-1	INFO	380	7544	accepted connection
441	1700005733	web-1	WARN	387	7561	query ok
442	1700005746	web-2	DEBUG	394	7578	cache miss
443	1700005759	api-1	ERROR	401	7595	retry scheduled
444	1700005772	api-2	INFO	408	7612	timeout waiting on upstream
445	1700005785	worker-a	INFO	415	7629	wrote batch
446	1700005798	worker-b	INFO	422	7646	auth ok
447	1700005811	cache-1	WARN	429	7663	rate limited
448	1700005824	web-1	DEBUG	436	7680	accepted connection
449	1700005837	web-2	ERROR	443	7697	query ok
450	1700005850	api-1	INFO	450	7714	cache miss
451	1700005863	api-2	INFO	457	7731	retry scheduled
452	1700005876	worker-a	INFO	464	7748	timeout waiting on upstream
453	1700005889	worker-b	WARN	471	7765	wrote batch
454	1700005902	cache-1	DEBUG	478	7782	auth ok
455	1700005915	web-1	ERROR	485	7799	rate limited
456	1700005928	web-2	INFO	492	7816	accepted connection
457	1700005941	api-1	INFO	499	7833	query ok
458	1700005954	api-2	INFO	506	7850	cache miss
459	1700005967	worker-a	WARN	513	7867	retry scheduled
460	1700005980	worker-b	DEBUG	520	7884	timeout waiting on upstream
461	1700005993	cache-1	ERROR	527	7901	wrote batch
462	1700006006	web-1	INFO	534	7918	auth ok
463	1700006019	web-2	INFO	541	7935	rate limited
464	1700006032	api-1	INFO	548	7952	accepted connection
465	1700006045	api-2	WARN	555	7969	query ok
466	1700006058	worker-a	DEBUG	562	7986	cache miss
467	1700006071	worker-b	ERROR	569	8003	retry scheduled
468	1700006084	cache-1	INFO	576	8020	timeout waiting on upstream
469	1700006097	web-1	INFO	583	8037	wrote batch
470	1700006110	web-2	INFO	590	8054	auth ok
471	1700006123	api-1	WARN	597	8071	rate limited
472	1700006136	api-2	DEBUG	604	8088	accepted connection
473	1700006149	worker-a	ERROR	611	8105	query ok
474	1700006162	worker-b	INFO	618	8122	cache miss
475	1700006175	cache-1	INFO	625	8139	retry scheduled
476	1700006188	web-1	INFO	632	8156	timeout waiting on upstream
477	1700006201	web-2	WARN	639	8173	wrote batch
478	1700006214	api-1	DEBUG	646	8190	auth ok
479	1700006227	api-2	ERROR	653	8207	rate limited
480	1700006240	worker-a	INFO	660	8224	accepted connection
481	1700006253	worker-b	INFO	667	8241	query ok
482	1700006266	cache-1	INFO	674	8258	cache miss
483	1700006279	web-1	WARN	681	8275	retry scheduled
484	1700006292	web-2	DEBUG	688	8292	timeout waiting on upstream
485	1700006305	api-1	ERROR	695	8309	wrote batch
486	1700006318	api-2	INFO	702	8326	auth ok
487	1700006331	worker-a	INFO	709	8343	rate limited
488	1700006344	worker-b	INFO	716	8360	accepted connection
489	1700006357	cache-1	WARN	723	8377	query ok
490	1700006370	web-1	DEBUG	730	8394	cache miss
491	1700006383	web-2	ERROR	737	8411	retry scheduled
492	1700006396	api-1	INFO	744	8428	timeout waiting on upstream
493	1700006409	api-2	INFO	751	8445	wrote batch
494	1700006422	worker-a	INFO	758	8462	auth ok
495	1700006435	worker-b	WARN	765	8479	rate limited
496	1700006448	cache-1	DEBUG	772	8496	accepted connection
497	1700006461	web-1	ERROR	779	8513	query ok
498	1700006474	web-2	INFO	786	8530	cache miss
499	1700006487	api-1	INFO	793	8547	retry scheduled
500	1700006500	api-2	INFO	800	8564	timeout waiting on upstream
501	1700006513	worker-a	WARN	807	8581	wrote batch
502	1700006526	worker-b	DEBUG	814	8598	auth ok
503	1700006539	cache-1	ERROR	821	8615	rate limited
504	1700006552	web-1	INFO	828	8632	accepted connection
505	1700006565	web-2	INFO	835	8649	query ok
506	1700006578	api-1	INFO	842	8666	cache miss
507	1700006591	api-2	WARN	849	8683	retry scheduled
508	1700006604	worker-a	DEBUG	856	8700	timeout waiting on upstream
509	1700006617	worker-b	ERROR	863	8717	wrote batch
510	1700006630	cache-1	INFO	870	8734	auth ok
511	1700006643	web-1	INFO	877	8751	rate limited
512	1700006656	web-2	INFO	884	8768	accepted connection
513	1700006669	api-1	WARN	891	8785	query ok
514	1700006682	api-2	DEBUG	898	8802	cache miss
515	1700006695	worker-a	ERROR	5	8819	retry scheduled
516	1700006708	worker-b	INFO	12	8836	timeout waiting on upstream
517	1700006721	cache-1	INFO	19	8853	wrote batch
